Nimi;Name;longitude;latitude
Teurastamo;Teurastamo;24.97115665;60.18969458
Päijänteentie;Päijänteentie;24.9642238;60.19205759
Pernajantie;Pernajantie;24.95797824;60.1942276
Teollisuuskatu;Teollisuuskatu;24.9487524;60.19347401
Elimäenkatu;Elimäenkatu;24.94762905;60.19621956
Hollolantie;Hollolantie;24.95460581;60.19588619
Paavalinpuisto;Paavalinpuisto;24.96144011;60.19747981
Haukilahdenkatu;Haukilahdenkatu;24.96762382;60.1985339
Velodrominrinne;Velodrominrinne;24.94419121;60.2010023
Sofianlehdonkatu;Sofianlehdonkatu;24.9513636;60.20327209
Arabian kauppakeskus;Arabia Shopping Center;24.96657182;60.20276963
Arabiankatu;Arabiankatu;24.97707901;60.20649156
Muotoilijankatu;Kaironkatu;24.97970405;60.20971041
Verkatehtaanpuisto;Verkatehtaanpuisto;24.97974919;60.21368952
Intiankatu;Intiankatu;24.96762464;60.20784023
Koskelantie;Koskelantie;24.94667728;60.20783998
Kuikkarinne;Kuikkarinne;24.86942979;60.15709599
Käpyläntie;Käpyläntie;24.9588108;60.21390429
Pohjolankatu;Pohjolankatu;24.9437964;60.21342099
Pohjolanaukio;Pohjolanaukio;24.95435978;60.21717875
Käpylän asema;Käpylä station;24.94794992;60.22080331
Juhana Herttuan tie;Juhana Herttuan tie;24.96645226;60.2185249
Toinen linja;Toinen linja;24.94456851;60.18300099
Töölönlahden puisto;Töölönlahden puisto;24.93507842;60.17485782
Eteläesplanadi;Eteläesplanadi;24.94715046;60.16719985
Leppäsuonaukio;Leppäsuonaukio;24.92657845;60.16958462
Lehtisaarentie;Lehtisaarentie;24.85050395;60.18194825
Länsiterminaali;West Terminal;24.91521354;60.15047303
Länsisatamankuja;Länsisatamankuja;24.91208983;60.1569515
Merihaka;Merihaka;24.95852854;60.17807491
Opastinsilta;Opastinsilta;24.93815258;60.19926577
A.I. Virtasen aukio;A.I. Virtasen aukio;24.96207885;60.20554182
Ilmalan asema;Ilmala Station;24.92221989;60.20662643
Ruskeasuon varikko;Ruskeasuo depot;24.89866789;60.20767995
Vanha Viertotie;Vanha Viertotie;24.88166025;60.21107529
Valimotie;Valimotie;24.87652907;60.21596932
Takomotie;Takomotie;24.87104647;60.21789962
Pajamäki;Pajamäki;24.85567438;60.21882132
Haagan tori;Haagan tori;24.89893006;60.21211158
Tunnelitie;Tunnelitie;24.89956941;60.21661493
Huopalahden asema;Huopalahti Station;24.89505774;60.21809614
Valimon asema;Valimo Station;24.8758444;60.22230225
Pitäjänmäen asema;Pitäjänmäki Station;24.85862929;60.22430909
Jännetie;Jännetie;24.85357149;60.22675758
Marttila;Marttila;24.8732133;60.22714981
Pohjois-Haagan asema;Pohjois-Haaga Station;24.88308064;60.2300717
Näyttelijäntie;Näyttelijäntie;24.88754704;60.2328641
Ida Aalbergin tie;Ida Aalbergin tie;24.89520235;60.22953268
Thalianaukio;Thalianaukio;24.89479586;60.22534231
Huovitie;Huovitie;24.90328665;60.22197553
